# z mu sigma
0.477119 17.352432 0.103486
0.477119 17.261982 0.103486
0.477164 17.114033 0.103487
0.477186 17.269351 0.103487
0.477227 17.085888 0.103487
0.477229 17.253605 0.103487
0.477428 17.069575 0.103490
0.477437 17.253948 0.103490
0.477475 17.280043 0.103491
0.477642 17.051121 0.103493
0.477944 17.242603 0.103497
0.477989 17.237849 0.103498
0.478010 17.306370 0.103498
0.478060 17.198974 0.103499
0.478171 17.074504 0.103500
0.478196 17.317919 0.103500
0.478350 17.133528 0.103503
0.478352 17.429901 0.103503
0.478965 17.342567 0.103511
0.478985 17.351227 0.103511
0.479083 17.148132 0.103513
0.479140 17.164004 0.103513
0.479199 17.350507 0.103514
0.479306 17.298244 0.103516
0.479442 17.142331 0.103517
0.479456 17.182013 0.103518
0.479544 17.213874 0.103519
0.479570 17.337240 0.103519
0.479574 17.256293 0.103519
0.479796 17.306475 0.103522
0.479875 17.154421 0.103523
0.479994 17.285200 0.103525
0.480171 17.217327 0.103527
0.480489 17.165826 0.103532
0.480676 17.372519 0.103534
0.480694 17.236456 0.103534
0.481020 17.482953 0.103539
0.481049 17.406237 0.103539
0.481053 17.152349 0.103539
0.481299 17.122597 0.103543
0.481393 17.284048 0.103544
0.481432 17.038293 0.103545
0.481433 17.236071 0.103545
0.481540 17.347262 0.103546
0.481571 17.244130 0.103546
0.481732 17.169380 0.103549
0.481862 17.239155 0.103550
0.481910 17.327430 0.103551
0.482084 17.304272 0.103553
0.483251 17.324333 0.103569
0.483389 17.302303 0.103571
0.483472 17.254695 0.103572
0.483758 17.295136 0.103576
0.483892 17.515491 0.103578
0.483908 17.220173 0.103578
0.483922 17.207810 0.103579
0.484120 17.018605 0.103581
0.484273 17.204482 0.103583
0.484458 17.356759 0.103586
0.484508 17.333975 0.103587
0.484598 17.232147 0.103588
0.484746 17.156184 0.103590
0.484929 17.363811 0.103592
0.484993 17.261164 0.103593
0.485007 17.271822 0.103594
0.485087 17.124052 0.103595
0.485189 17.092036 0.103596
0.485190 16.997186 0.103596
0.485308 17.239734 0.103598
0.485404 17.380516 0.103599
0.485484 17.209399 0.103600
0.485566 17.270788 0.103601
0.485633 17.276483 0.103602
0.486034 17.416613 0.103608
0.486434 17.237815 0.103613
0.486613 17.240103 0.103616
0.486664 17.331071 0.103616
0.486683 17.541144 0.103617
0.486854 17.300211 0.103619
0.487097 17.155020 0.103622
0.487144 17.318737 0.103623
0.487154 17.240358 0.103623
0.487302 17.327882 0.103625
0.487472 17.319141 0.103628
0.487521 17.237741 0.103628
0.487542 17.141185 0.103629
0.487743 17.327612 0.103631
0.487772 17.551285 0.103632
0.487872 17.380346 0.103633
0.487903 17.269786 0.103634
0.487975 17.282548 0.103635
0.488018 17.227360 0.103635
0.488034 17.232273 0.103635
0.488066 17.262252 0.103636
0.488079 17.262878 0.103636
0.488140 17.471501 0.103637
0.488246 17.197768 0.103638
0.488266 17.277759 0.103639
0.488373 17.377248 0.103640
0.488470 17.358529 0.103641
0.488476 17.245841 0.103641
0.488500 17.404519 0.103642
0.488504 17.211280 0.103642
0.488629 17.184463 0.103644
0.488887 17.236447 0.103647
0.489034 17.344308 0.103649
0.489142 17.461143 0.103651
0.489248 17.103487 0.103652
0.489271 17.218530 0.103653
0.489505 17.255596 0.103656
0.489512 17.412681 0.103656
0.489745 17.163050 0.103659
0.489773 17.411201 0.103659
0.489846 17.225468 0.103660
0.489876 17.158058 0.103661
0.489991 17.284887 0.103663
0.490225 17.379247 0.103666
0.490403 17.195229 0.103668
0.490564 17.258752 0.103670
0.490629 17.478687 0.103671
0.490658 17.269684 0.103672
0.491091 17.202021 0.103678
0.491108 17.362808 0.103678
0.491132 17.241414 0.103678
0.491325 17.302762 0.103681
0.491348 17.258310 0.103681
0.491433 17.361623 0.103683
0.491626 17.321455 0.103685
0.491699 17.178745 0.103686
0.491808 17.377445 0.103688
0.491946 17.394393 0.103690
0.492027 17.360731 0.103691
0.492068 17.185132 0.103691
0.492079 17.453401 0.103692
0.492318 17.122281 0.103695
0.492432 17.419897 0.103697
0.492439 17.206746 0.103697
0.492487 17.425985 0.103697
0.492572 17.336076 0.103699
0.492606 17.388560 0.103699
0.492804 17.415824 0.103702
0.492898 17.264284 0.103703
0.493272 17.223426 0.103708
0.493408 17.299915 0.103710
0.493522 17.252325 0.103712
0.493806 17.335517 0.103716
0.493956 17.355658 0.103718
0.494015 17.471000 0.103719
0.494024 17.075576 0.103719
0.494105 17.237076 0.103720
0.494161 17.450147 0.103721
0.494217 17.244143 0.103722
0.494337 17.166542 0.103723
0.494383 17.485388 0.103724
0.494528 17.277998 0.103726
0.494588 17.189686 0.103727
0.494619 17.308195 0.103727
0.494690 17.411495 0.103728
0.494697 17.251320 0.103728
0.494724 17.381880 0.103729
0.495202 17.394958 0.103735
0.495373 17.186093 0.103738
0.495376 17.209141 0.103738
0.495458 17.328722 0.103739
0.495835 17.372133 0.103744
0.495960 17.197067 0.103746
0.496008 17.565502 0.103747
0.496346 17.244975 0.103752
0.496406 17.461229 0.103752
0.496456 17.348299 0.103753
0.496476 17.265321 0.103753
0.496536 17.349548 0.103754
0.496881 17.293786 0.103759
0.496958 17.338687 0.103760
0.496974 17.243253 0.103760
0.497370 17.492096 0.103766
0.497384 17.397246 0.103766
0.497409 17.280926 0.103767
0.497504 17.482037 0.103768
0.497623 17.303293 0.103770
0.497623 17.392251 0.103770
0.497690 17.379490 0.103770
0.497814 17.412133 0.103772
0.497860 17.382144 0.103773
0.497985 17.256724 0.103775
0.498224 17.461220 0.103778
0.498238 17.541650 0.103778
0.498383 17.279018 0.103780
0.498421 17.487149 0.103781
0.498463 17.413083 0.103781
0.498521 17.417745 0.103782
0.499092 17.270198 0.103790
0.499447 17.339228 0.103795
0.499516 17.271893 0.103796
0.499596 17.471046 0.103797
0.499699 17.265171 0.103799
0.499728 17.466013 0.103799
0.499837 17.338607 0.103801
0.499853 17.448664 0.103801
0.499865 17.303974 0.103801
0.499990 17.392326 0.103803
0.500023 17.461205 0.103804
0.500030 17.240096 0.103804
0.500173 17.268709 0.103806
0.500236 17.209547 0.103807
0.500268 17.308929 0.103807
0.500483 17.399770 0.103810
0.500488 17.353595 0.103810
0.500585 17.102652 0.103812
0.500708 17.494279 0.103813
0.501085 17.244762 0.103819
0.501211 17.090309 0.103820
0.501455 17.257513 0.103824
0.501627 17.441500 0.103826
0.502018 17.260832 0.103832
0.502044 17.577144 0.103832
0.502126 17.167822 0.103834
0.502222 17.466266 0.103835
0.502277 17.531238 0.103836
0.502330 17.275393 0.103836
0.502357 17.299012 0.103837
0.502364 17.347550 0.103837
0.502390 17.409934 0.103837
0.502408 17.312425 0.103838
0.502919 17.383353 0.103845
0.502930 17.203099 0.103845
0.503135 17.610295 0.103848
0.503239 17.259754 0.103849
0.503437 17.324637 0.103852
0.503484 17.277195 0.103853
0.503526 17.318751 0.103854
0.503613 17.292510 0.103855
0.503676 17.394611 0.103856
0.503777 17.386803 0.103857
0.503786 17.318466 0.103857
0.503818 17.401920 0.103858
0.503887 17.231345 0.103859
0.503901 17.408201 0.103859
0.504072 17.442496 0.103861
0.504365 17.395743 0.103866
0.504381 17.380816 0.103866
0.504423 17.465279 0.103866
0.504455 17.177004 0.103867
0.504648 17.394534 0.103870
0.504701 17.538232 0.103870
0.504707 17.370144 0.103870
0.504744 17.547995 0.103871
0.504840 17.305763 0.103872
0.504887 17.278568 0.103873
0.504992 17.234397 0.103875
0.505044 17.360278 0.103875
0.505121 17.360846 0.103876
0.505174 17.169051 0.103877
0.505206 17.355231 0.103878
0.505403 17.427261 0.103880
0.505488 17.512535 0.103882
0.505676 17.398048 0.103884
0.505919 17.404279 0.103888
0.506257 17.353175 0.103893
0.506389 17.238163 0.103895
0.506415 17.359361 0.103895
0.506597 17.313095 0.103898
0.506814 17.379362 0.103901
0.506878 17.483798 0.103902
0.506891 17.254687 0.103902
0.506903 17.455274 0.103902
0.507003 17.405274 0.103903
0.507302 17.269176 0.103908
0.507563 17.292238 0.103912
0.507700 17.415767 0.103913
0.507708 17.315235 0.103914
0.507982 17.584409 0.103918
0.508106 17.468582 0.103919
0.508328 17.356943 0.103923
0.508498 17.301788 0.103925
0.508579 17.302212 0.103926
0.508759 17.365488 0.103929
0.508772 17.394793 0.103929
0.508798 17.495217 0.103929
0.508898 17.318336 0.103931
0.508919 17.532663 0.103931
0.509043 17.377215 0.103933
0.509058 17.147390 0.103933
0.509192 17.362254 0.103935
0.509418 17.483908 0.103938
0.509446 17.299913 0.103939
0.509524 17.235388 0.103940
0.509689 17.369317 0.103942
0.509757 17.344154 0.103943
0.509800 17.505755 0.103944
0.509876 17.437975 0.103945
0.510192 17.378430 0.103950
0.510295 17.332258 0.103951
0.510366 17.188108 0.103952
0.510372 17.369559 0.103952
0.510532 17.371108 0.103954
0.510635 17.406627 0.103956
0.510735 17.432248 0.103957
0.510768 17.205344 0.103958
0.510858 17.370236 0.103959
0.511221 17.289325 0.103965
0.511266 17.163637 0.103965
0.511283 17.136838 0.103965
0.511303 17.501338 0.103966
0.511334 17.417222 0.103966
0.511793 17.493411 0.103973
0.511803 17.370314 0.103973
0.511811 17.228568 0.103973
0.511924 17.459244 0.103975
0.512252 17.430433 0.103979
0.512280 17.482414 0.103980
0.512398 17.265471 0.103982
0.512401 17.376005 0.103982
0.512739 17.383005 0.103987
0.512829 17.426046 0.103988
0.513096 17.345971 0.103992
0.513441 17.388579 0.103997
0.513641 17.356804 0.104000
0.513708 17.445567 0.104001
0.513791 17.414644 0.104002
0.513895 17.485297 0.104003
0.513901 17.272932 0.104004
0.513971 17.609218 0.104005
0.514016 17.405772 0.104005
0.514239 17.393482 0.104009
0.514345 17.472884 0.104010
0.514662 17.534467 0.104015
0.514689 17.337336 0.104015
0.514719 17.504008 0.104016
0.514771 17.401515 0.104016
0.514857 17.286388 0.104018
0.514878 17.520724 0.104018
0.514958 17.464275 0.104019
0.514985 17.480681 0.104019
0.515013 17.426724 0.104020
0.515106 17.469361 0.104021
0.515321 17.570200 0.104024
0.515357 17.508400 0.104025
0.515523 17.407583 0.104027
0.515554 17.293805 0.104028
0.515615 17.315797 0.104029
0.515658 17.334459 0.104029
0.515791 17.428662 0.104031
0.515935 17.441452 0.104033
0.515956 17.491298 0.104034
0.516417 17.537235 0.104040
0.516571 17.383828 0.104043
0.516631 17.493426 0.104044
0.516661 17.411415 0.104044
0.516996 17.422500 0.104049
0.517082 17.469069 0.104050
0.517109 17.487489 0.104051
0.517131 17.367141 0.104051
0.517227 17.567830 0.104052
0.517266 17.366447 0.104053
0.517285 17.260499 0.104053
0.517349 17.462927 0.104054
0.517446 17.408429 0.104056
0.517556 17.588801 0.104057
0.517566 17.601578 0.104057
0.517740 17.537773 0.104060
0.517901 17.374298 0.104062
0.518244 17.331561 0.104067
0.518275 17.303344 0.104068
0.518341 17.558877 0.104069
0.518454 17.383977 0.104070
0.518462 17.318472 0.104071
0.518516 17.361127 0.104071
0.518699 17.407085 0.104074
0.518764 17.297295 0.104075
0.518788 17.347859 0.104075
0.518923 17.556514 0.104077
0.518928 17.380434 0.104077
0.519058 17.408381 0.104079
0.519304 17.427066 0.104083
0.519570 17.522363 0.104087
0.519665 17.540077 0.104088
0.519696 17.279606 0.104089
0.519948 17.401362 0.104092
0.520460 17.508184 0.104100
0.520656 17.222171 0.104103
0.520656 17.401749 0.104103
0.520697 17.402325 0.104104
0.520698 17.338728 0.104104
0.520847 17.320243 0.104106
0.520849 17.477660 0.104106
0.520851 17.539758 0.104106
0.520877 17.590275 0.104106
0.520925 17.560429 0.104107
0.521010 17.546756 0.104108
0.521215 17.480013 0.104111
0.521364 17.373029 0.104113
0.521402 17.682481 0.104114
0.521711 17.508671 0.104119
0.521767 17.516348 0.104119
0.521958 17.385227 0.104122
0.522008 17.660986 0.104123
0.522173 17.521916 0.104125
0.522240 17.427383 0.104126
0.522302 17.478886 0.104127
0.522474 17.316485 0.104130
0.522659 17.507413 0.104133
0.522896 17.445916 0.104136
0.522940 17.527676 0.104137
0.522983 17.540300 0.104137
0.523070 17.632869 0.104139
0.523199 17.433108 0.104141
0.523253 17.474048 0.104141
0.523378 17.436805 0.104143
0.523822 17.579946 0.104150
0.523883 17.523633 0.104151
0.523914 17.504605 0.104151
0.524183 17.461474 0.104155
0.524218 17.553436 0.104156
0.524265 17.518778 0.104157
0.524294 17.374486 0.104157
0.524304 17.427466 0.104157
0.524551 17.747843 0.104161
0.524629 17.407619 0.104162
0.524666 17.425655 0.104163
0.524675 17.409576 0.104163
0.524798 17.490772 0.104165
0.524900 17.164157 0.104166
0.524910 17.406406 0.104166
0.524911 17.492449 0.104166
0.525124 17.337168 0.104169
0.525300 17.458515 0.104172
0.525561 17.418672 0.104176
0.525660 17.618595 0.104177
0.525893 17.546645 0.104181
0.526471 17.545019 0.104190
0.526495 17.426201 0.104190
0.526516 17.666269 0.104190
0.526589 17.461985 0.104191
0.526617 17.370189 0.104192
0.526633 17.420105 0.104192
0.526816 17.533453 0.104195
0.526848 17.538381 0.104195
0.526910 17.358923 0.104196
0.527000 17.334600 0.104197
0.527122 17.500553 0.104199
0.527345 17.582817 0.104203
0.527356 17.577354 0.104203
0.527496 17.370249 0.104205
0.527666 17.504929 0.104207
0.527715 17.583273 0.104208
0.527889 17.440932 0.104211
0.528145 17.313383 0.104215
0.528148 17.568211 0.104215
0.528199 17.517425 0.104215
0.528462 17.472972 0.104219
0.528667 17.484825 0.104222
0.528685 17.370011 0.104223
0.528720 17.396197 0.104223
0.528728 17.594064 0.104223
0.528735 17.674124 0.104224
0.528760 17.551472 0.104224
0.529071 17.419178 0.104229
0.529083 17.499156 0.104229
0.529288 17.332845 0.104232
0.529309 17.471973 0.104232
0.529432 17.323188 0.104234
0.529669 17.454227 0.104238
0.529757 17.438551 0.104239
0.529799 17.522031 0.104240
0.529808 17.452700 0.104240
0.529814 17.470639 0.104240
0.529918 17.498100 0.104241
0.529925 17.448110 0.104241
0.529935 17.646311 0.104242
0.529963 17.671442 0.104242
0.529964 17.692552 0.104242
0.530311 17.378993 0.104247
0.530438 17.548525 0.104249
0.530477 17.563675 0.104250
0.530582 17.544893 0.104251
0.530723 17.637202 0.104253
0.530724 17.446526 0.104253
0.530818 17.560921 0.104255
0.530885 17.667488 0.104256
0.530971 17.476531 0.104257
0.531002 17.654990 0.104258
0.531346 17.465722 0.104263
0.531409 17.357878 0.104264
0.531449 17.399461 0.104264
0.531479 17.402356 0.104265
0.531892 17.587018 0.104271
0.531923 17.664120 0.104272
0.532191 17.382543 0.104276
0.532206 17.409878 0.104276
0.532287 17.552504 0.104277
0.532335 17.412337 0.104278
0.532432 17.607791 0.104279
0.532506 17.161782 0.104280
0.532681 17.624463 0.104283
0.532807 17.415166 0.104285
0.532823 17.599406 0.104285
0.532918 17.454601 0.104287
0.533017 17.572593 0.104288
0.533038 17.514705 0.104288
0.533069 17.624004 0.104289
0.533090 17.428544 0.104289
0.533253 17.596656 0.104292
0.533377 17.475869 0.104294
0.533389 17.569454 0.104294
0.533449 17.557397 0.104295
0.533584 17.667590 0.104297
0.533649 17.574990 0.104298
0.533760 17.593063 0.104299
0.533768 17.381566 0.104300
0.533821 17.568235 0.104300
0.533824 17.643353 0.104300
0.533961 17.376174 0.104302
0.534013 17.647245 0.104303
0.534064 17.491378 0.104304
0.534082 17.485671 0.104304
0.534375 17.527518 0.104309
0.534413 17.590136 0.104309
0.534762 17.525713 0.104315
0.534799 17.532427 0.104315
0.534885 17.540404 0.104317
0.534906 17.266628 0.104317
0.535117 17.478480 0.104320
0.535173 17.476147 0.104321
0.536051 17.540660 0.104334
0.536236 17.513516 0.104337
0.536325 17.368155 0.104338
0.536412 17.455569 0.104340
0.536432 17.602442 0.104340
0.536792 17.553855 0.104346
0.537212 17.588767 0.104352
0.537220 17.677319 0.104352
0.537345 17.436523 0.104354
0.537371 17.552856 0.104354
0.537408 17.575454 0.104355
0.537588 17.456381 0.104358
0.537775 17.536259 0.104361
0.537778 17.447138 0.104361
0.537782 17.744587 0.104361
0.538024 17.561093 0.104364
0.538093 17.665687 0.104365
0.538316 17.599154 0.104369
0.538366 17.485524 0.104370
0.538479 17.497143 0.104371
0.538556 17.529415 0.104373
0.538590 17.469554 0.104373
0.538657 17.629054 0.104374
0.538825 17.542173 0.104377
0.538828 17.543162 0.104377
0.538890 17.492744 0.104378
0.538944 17.458050 0.104379
0.539054 17.549757 0.104380
0.539076 17.549251 0.104381
0.539120 17.729057 0.104381
0.539201 17.456189 0.104382
0.539294 17.481153 0.104384
0.539448 17.534324 0.104386
0.539456 17.438841 0.104386
0.539573 17.642433 0.104388
0.539720 17.386458 0.104390
0.539849 17.642947 0.104392
0.539863 17.504271 0.104393
0.539902 17.487014 0.104393
0.540012 17.504879 0.104395
0.540080 17.561592 0.104396
0.540182 17.580227 0.104398
0.540216 17.568496 0.104398
0.540229 17.348768 0.104398
0.540276 17.622556 0.104399
0.540308 17.652307 0.104399
0.540409 17.558177 0.104401
0.540414 17.543927 0.104401
0.540590 17.308319 0.104404
0.540651 17.568120 0.104405
0.540672 17.648216 0.104405
0.540762 17.631047 0.104406
0.540926 17.446271 0.104409
0.541085 17.433313 0.104411
0.541091 17.408297 0.104412
0.541156 17.524527 0.104413
0.541600 17.826340 0.104419
0.541645 17.601362 0.104420
0.541681 17.421775 0.104421
0.541911 17.689742 0.104424
0.541922 17.674014 0.104424
0.542090 17.420011 0.104427
0.542246 17.452114 0.104429
0.542259 17.409166 0.104430
0.542412 17.526825 0.104432
0.542448 17.412499 0.104432
0.542491 17.372416 0.104433
0.542491 17.656430 0.104433
0.542624 17.447379 0.104435
0.542839 17.592932 0.104438
0.542846 17.512520 0.104439
0.543062 17.608635 0.104442
0.543429 17.490633 0.104448
0.543461 17.405522 0.104448
0.543909 17.753660 0.104455
0.543956 17.518979 0.104456
0.544025 17.557878 0.104457
0.544197 17.799475 0.104459
0.544322 17.676015 0.104461
0.544504 17.786179 0.104464
0.544557 17.587228 0.104465
0.544743 17.485870 0.104468
0.544817 17.356668 0.104469
0.544834 17.544763 0.104469
0.544860 17.512129 0.104470
0.544881 17.482874 0.104470
0.545025 17.521106 0.104472
0.545365 17.612086 0.104478
0.545486 17.606136 0.104479
0.545541 17.707978 0.104480
0.545580 17.556282 0.104481
0.545619 17.378884 0.104481
0.545628 17.468107 0.104482
0.545848 17.630974 0.104485
0.545968 17.488151 0.104487
0.546285 17.721859 0.104492
0.546349 17.591154 0.104493
0.546396 17.388012 0.104494
0.546543 17.579802 0.104496
0.546721 17.611644 0.104499
0.546800 17.611747 0.104500
0.546941 17.609798 0.104502
0.546989 17.714820 0.104503
0.547138 17.655834 0.104505
0.547265 17.555714 0.104507
0.547359 17.475604 0.104509
0.547411 17.598506 0.104509
0.547431 17.752579 0.104510
0.547435 17.566678 0.104510
0.547445 17.490140 0.104510
0.547446 17.673710 0.104510
0.547452 17.720013 0.104510
0.547459 17.711808 0.104510
0.547642 17.513333 0.104513
0.547807 17.586607 0.104516
0.547959 17.721328 0.104518
0.547998 17.527691 0.104518
0.548166 17.587803 0.104521
0.548337 17.545951 0.104524
0.548414 17.616408 0.104525
0.548530 17.397057 0.104527
0.548578 17.511086 0.104528
0.548606 17.538903 0.104528
0.548669 17.530820 0.104529
0.548789 17.417688 0.104531
0.548818 17.686245 0.104531
0.548848 17.588039 0.104532
0.548954 17.605744 0.104533
0.549002 17.442990 0.104534
0.549096 17.603566 0.104536
0.549127 17.724262 0.104536
0.549130 17.571938 0.104536
0.549151 17.595555 0.104536
0.549333 17.520027 0.104539
0.549399 17.460218 0.104540
0.549402 17.661748 0.104540
0.549475 17.555799 0.104542
0.549504 17.637356 0.104542
0.549518 17.638714 0.104542
0.549702 17.515663 0.104545
0.549709 17.582420 0.104545
0.549764 17.502044 0.104546
0.549790 17.622372 0.104546
0.549873 17.535412 0.104548
0.549969 17.414910 0.104549
0.550049 17.338132 0.104551
0.550151 17.429863 0.104552
0.550188 17.435025 0.104553
0.550255 17.638389 0.104554
0.550447 17.549438 0.104557
0.550454 17.681820 0.104557
0.550492 17.798763 0.104557
0.550964 17.597818 0.104565
0.550982 17.623709 0.104565
0.551028 17.724958 0.104566
0.551175 17.537876 0.104568
0.551342 17.493455 0.104571
0.551498 17.759807 0.104573
0.551555 17.564151 0.104574
0.551648 17.601432 0.104576
0.551818 17.499308 0.104578
0.551951 17.530850 0.104580
0.551956 17.690716 0.104580
0.551990 17.446717 0.104581
0.552019 17.551783 0.104581
0.552067 17.600712 0.104582
0.552535 17.816038 0.104589
0.552572 17.550667 0.104590
0.552613 17.576153 0.104591
0.552620 17.664136 0.104591
0.552679 17.587154 0.104592
0.552683 17.582485 0.104592
0.552722 17.549098 0.104592
0.552724 17.688720 0.104592
0.552844 17.644149 0.104594
0.552913 17.644538 0.104595
0.553005 17.651350 0.104597
0.553129 17.516600 0.104599
0.553146 17.565458 0.104599
0.553170 17.663476 0.104599
0.553186 17.466200 0.104600
0.553199 17.576307 0.104600
0.553246 17.497684 0.104601
0.553292 17.541991 0.104601
0.553368 17.413984 0.104603
0.553408 17.474524 0.104603
0.553510 17.617193 0.104605
0.553575 17.648302 0.104606
0.553666 17.582136 0.104607
0.553697 17.593563 0.104608
0.553866 17.588136 0.104610
0.553901 17.465255 0.104611
0.553996 17.576291 0.104612
0.554079 17.636999 0.104614
0.554198 17.563665 0.104616
0.554217 17.612333 0.104616
0.554241 17.412847 0.104616
0.554242 17.601306 0.104616
0.554320 17.591913 0.104618
0.554361 17.697021 0.104618
0.554429 17.457648 0.104619
0.554561 17.724385 0.104621
0.554920 17.452641 0.104627
0.554964 17.768425 0.104628
0.554981 17.730988 0.104628
0.554983 17.532417 0.104628
0.555022 17.547024 0.104629
0.555272 17.606342 0.104633
0.555337 17.721733 0.104634
0.555361 17.564451 0.104634
0.555379 17.727733 0.104634
0.555408 17.634161 0.104635
0.555419 17.572866 0.104635
0.555518 17.708179 0.104636
0.555525 17.484707 0.104637
0.555584 17.570755 0.104638
0.555611 17.645806 0.104638
0.555936 17.729405 0.104643
0.556050 17.556127 0.104645
0.556206 17.759471 0.104647
0.556351 17.496520 0.104650
0.556595 17.421314 0.104654
0.556608 17.880936 0.104654
0.556610 17.475326 0.104654
0.556632 17.463160 0.104654
0.556662 17.525632 0.104655
0.556894 17.703629 0.104658
0.556941 17.722200 0.104659
0.556943 17.654105 0.104659
0.557047 17.825435 0.104661
0.557075 17.652245 0.104661
0.557157 17.835591 0.104662
0.557198 17.516670 0.104663
0.557432 17.695663 0.104667
0.557550 17.595727 0.104669
0.557574 17.670801 0.104669
0.557806 17.602613 0.104673
0.557934 17.700092 0.104675
0.558094 17.726137 0.104677
0.558150 17.637175 0.104678
0.558176 17.742186 0.104679
0.558223 17.608529 0.104679
0.558302 17.648739 0.104681
0.558320 17.688816 0.104681
0.558367 17.846979 0.104682
0.558446 17.612716 0.104683
0.558521 17.413105 0.104684
0.558654 17.768422 0.104686
0.558680 17.815536 0.104687
0.558809 17.673561 0.104689
0.559017 17.529729 0.104692
0.559089 17.538930 0.104693
0.559119 17.428011 0.104694
0.559153 17.775253 0.104694
0.559218 17.665510 0.104695
0.559354 17.562427 0.104697
0.559397 17.675582 0.104698
0.559491 17.551944 0.104699
0.559566 17.424003 0.104701
0.559675 17.482126 0.104702
0.559802 17.764539 0.104704
0.560148 17.696780 0.104710
0.560219 17.687606 0.104711
0.560235 17.754120 0.104711
0.560260 17.555180 0.104712
0.560716 17.656432 0.104719
0.560881 17.574562 0.104722
0.560917 17.656172 0.104722
0.561017 17.204021 0.104724
0.561068 17.740897 0.104725
0.561085 17.806554 0.104725
0.561113 17.611813 0.104725
0.561123 17.548513 0.104725
0.561149 17.553585 0.104726
0.561226 17.660203 0.104727
0.561316 17.721789 0.104729
0.561477 17.845550 0.104731
0.561501 17.561669 0.104732
0.561656 17.606999 0.104734
0.561703 17.608281 0.104735
0.561715 17.731991 0.104735
0.561735 17.652870 0.104735
0.561823 17.679064 0.104737
0.561841 17.709623 0.104737
0.561916 17.526477 0.104738
0.562206 17.682051 0.104743
0.562442 17.579203 0.104747
0.562443 17.719787 0.104747
0.562488 17.415117 0.104747
0.562619 17.639953 0.104749
0.562644 17.697470 0.104750
0.562699 17.587857 0.104751
0.562844 17.683818 0.104753
0.562939 17.748056 0.104754
0.563050 17.651632 0.104756
0.563209 17.757737 0.104759
0.563217 17.597933 0.104759
0.563263 17.682699 0.104760
0.563393 17.702958 0.104762
0.563397 17.741939 0.104762
0.563426 17.671606 0.104762
0.563691 17.505072 0.104767
0.564182 17.400591 0.104774
0.564274 17.627470 0.104776
0.564311 17.748038 0.104776
0.564424 17.441190 0.104778
0.564474 17.401683 0.104779
0.564589 17.702017 0.104781
0.564590 17.647117 0.104781
0.564728 17.815312 0.104783
0.564764 17.783097 0.104784
0.565013 17.726851 0.104788
0.565274 17.738968 0.104792
0.565287 17.761072 0.104792
0.565363 17.724993 0.104793
0.565366 17.504951 0.104793
0.565484 17.650959 0.104795
0.565538 17.539372 0.104796
0.566013 17.585858 0.104804
0.566016 17.636098 0.104804
0.566182 17.795469 0.104807
0.566197 17.557726 0.104807
0.566449 17.583466 0.104811
0.566518 17.678440 0.104812
0.566625 17.592445 0.104814
0.566653 17.847404 0.104814
0.566676 17.582128 0.104814
0.566761 17.662447 0.104816
0.567082 17.597356 0.104821
0.567106 17.844814 0.104821
0.567275 17.657796 0.104824
0.567503 17.709528 0.104828
0.567548 17.575557 0.104829
0.567758 17.661010 0.104832
0.567771 17.655454 0.104832
0.568057 17.553754 0.104837
0.568116 17.689244 0.104838
0.568394 17.604226 0.104842
0.568769 17.725542 0.104848
0.568783 17.717154 0.104848
0.568810 17.577828 0.104849
0.569024 17.576495 0.104852
0.569171 17.787395 0.104855
0.569287 17.665074 0.104857
0.569508 17.579362 0.104860
0.569571 17.839702 0.104861
0.569676 17.699582 0.104863
0.569759 17.618806 0.104864
0.569829 17.700296 0.104865
0.569929 17.775468 0.104867
0.569983 17.978709 0.104868
0.570120 17.834177 0.104870
0.570121 17.658315 0.104870
0.570179 17.773982 0.104871
0.570183 17.641678 0.104871
0.570387 17.788512 0.104874
0.570685 17.484127 0.104879
0.570700 17.725522 0.104880
0.570816 17.772787 0.104881
0.570987 17.657567 0.104884
0.570991 17.811086 0.104884
0.570998 17.884361 0.104884
0.571122 17.790634 0.104886
0.571307 17.635233 0.104889
0.571470 17.884939 0.104892
0.571520 17.535247 0.104893
0.571605 17.675747 0.104894
0.571647 17.832231 0.104895
0.571699 17.772589 0.104896
0.571709 17.588140 0.104896
0.571771 17.556655 0.104897
0.571849 17.548199 0.104898
0.571919 17.742857 0.104899
0.571946 17.727466 0.104900
0.572119 17.756373 0.104903
0.572256 17.515405 0.104905
0.572616 17.726714 0.104911
0.572634 17.774508 0.104911
0.572977 17.606369 0.104917
0.573053 17.838218 0.104918
0.573590 17.819846 0.104927
0.573855 17.449536 0.104931
0.574070 17.747402 0.104934
0.574240 17.735978 0.104937
0.574313 17.601862 0.104938
0.574370 17.811484 0.104939
0.574393 17.944525 0.104940
0.574587 17.496203 0.104943
0.574686 17.816875 0.104944
0.574844 17.693095 0.104947
0.574868 17.660712 0.104947
0.574902 17.595874 0.104948
0.574961 17.737193 0.104949
0.575030 17.784013 0.104950
0.575033 17.785892 0.104950
0.575054 17.741749 0.104950
0.575077 17.625370 0.104951
0.575091 17.561052 0.104951
0.575123 17.761558 0.104952
0.575344 17.758361 0.104955
0.575436 17.546992 0.104957
0.575605 17.615241 0.104959
0.575691 17.716709 0.104961
0.575739 17.553265 0.104962
0.575763 17.956126 0.104962
0.575775 17.587397 0.104962
0.575853 17.744635 0.104963
0.576009 17.620915 0.104966
